Found 747 mutants to test
ok       Unmutated baseline in 15s build + 1s test
TIMEOUT  src/texel/mixture.rs:527:36: replace * with + in simplex_search_impl in 46s build + 20s test
TIMEOUT  src/texel/mixture.rs:527:36: replace * with / in simplex_search_impl in 40s build + 20s test
TIMEOUT  src/texel/mixture.rs:528:25: replace < with == in simplex_search_impl in 44s build + 20s test
TIMEOUT  src/texel/mixture.rs:528:25: replace < with > in simplex_search_impl in 42s build + 20s test
TIMEOUT  src/texel/mixture.rs:528:25: replace < with <= in simplex_search_impl in 40s build + 20s test
TIMEOUT  src/texel/mixture.rs:528:38: replace * with + in simplex_search_impl in 43s build + 20s test
TIMEOUT  src/texel/mixture.rs:528:38: replace * with / in simplex_search_impl in 45s build + 20s test
TIMEOUT  src/texel/mixture.rs:543:33: replace += with -= in simplex_search_impl in 47s build + 20s test
TIMEOUT  src/texel/mixture.rs:543:33: replace += with *= in simplex_search_impl in 43s build + 20s test
TIMEOUT  src/texel/mixture.rs:553:32: replace += with -= in simplex_search_impl in 46s build + 20s test
TIMEOUT  src/texel/mixture.rs:553:32: replace += with *= in simplex_search_impl in 45s build + 20s test
TIMEOUT  src/texel/mixture.rs:563:31: replace += with -= in simplex_search_impl in 45s build + 20s test
TIMEOUT  src/texel/mixture.rs:563:31: replace += with *= in simplex_search_impl in 46s build + 20s test
TIMEOUT  src/texel/mixture.rs:570:20: replace += with -= in simplex_search_impl in 49s build + 20s test
TIMEOUT  src/texel/mixture.rs:570:20: replace += with *= in simplex_search_impl in 48s build + 20s test
TIMEOUT  src/texel/mixture.rs:582:29: replace == with != in simplex_search_impl in 46s build + 20s test
TIMEOUT  src/texel/mixture.rs:598:5: replace sort_indices_by_obj -> [usize; N_VERTS] with [0; N_VERTS] in 46s build + 20s test
TIMEOUT  src/texel/mixture.rs:598:5: replace sort_indices_by_obj -> [usize; N_VERTS] with [1; N_VERTS] in 46s build + 20s test
TIMEOUT  src/texel/mixture.rs:640:5: replace record_progress -> Result<(), TexelError> with Ok(()) in 44s build + 20s test
TIMEOUT  src/texel/mixture.rs:680:5: replace format_meta_progress -> String with String::new() in 50s build + 20s test
TIMEOUT  src/texel/mixture.rs:680:5: replace format_meta_progress -> String with "xyzzy".into() in 46s build + 20s test
TIMEOUT  src/texel/mixture.rs:700:5: replace write_progress_file with () in 47s build + 20s test
TIMEOUT  src/texel/mixture.rs:724:5: replace save_checkpoint -> Result<(), TexelError> with Ok(()) in 49s build + 20s test
TIMEOUT  src/texel/mixture.rs:740:5: replace load_checkpoint -> Option<Checkpoint> with None in 48s build + 20s test
TIMEOUT  src/texel/mixture.rs:747:5: replace encode_checkpoint -> Vec<u8> with vec![] in 44s build + 20s test
TIMEOUT  src/texel/mixture.rs:747:5: replace encode_checkpoint -> Vec<u8> with vec![0] in 47s build + 20s test
TIMEOUT  src/texel/mixture.rs:747:5: replace encode_checkpoint -> Vec<u8> with vec![1] in 48s build + 20s test
TIMEOUT  src/texel/mixture.rs:780:5: replace decode_checkpoint -> Option<Checkpoint> with None in 49s build + 20s test
TIMEOUT  src/texel/mixture.rs:780:20: replace < with == in decode_checkpoint in 44s build + 20s test
TIMEOUT  src/texel/mixture.rs:780:20: replace < with > in decode_checkpoint in 46s build + 20s test
TIMEOUT  src/texel/mixture.rs:780:20: replace < with <= in decode_checkpoint in 49s build + 20s test
TIMEOUT  src/texel/mixture.rs:780:33: replace + with - in decode_checkpoint in 47s build + 20s test
TIMEOUT  src/texel/mixture.rs:780:33: replace + with * in decode_checkpoint in 51s build + 20s test
TIMEOUT  src/texel/mixture.rs:780:28: replace + with * in decode_checkpoint in 45s build + 20s test
TIMEOUT  src/texel/mixture.rs:780:24: replace + with * in decode_checkpoint in 44s build + 20s test
TIMEOUT  src/texel/mixture.rs:783:30: replace - with + in decode_checkpoint in 48s build + 20s test
TIMEOUT  src/texel/mixture.rs:783:30: replace - with / in decode_checkpoint in 48s build + 20s test
TIMEOUT  src/texel/mixture.rs:785:54: replace != with == in decode_checkpoint in 51s build + 20s test
TIMEOUT  src/texel/mixture.rs:789:26: replace != with == in decode_checkpoint in 48s build + 20s test
TIMEOUT  src/texel/mixture.rs:809:19: replace > with == in decode_checkpoint in 49s build + 20s test
TIMEOUT  src/texel/mixture.rs:809:19: replace > with < in decode_checkpoint in 49s build + 20s test
TIMEOUT  src/texel/mixture.rs:809:19: replace > with >= in decode_checkpoint in 49s build + 20s test
TIMEOUT  src/texel/mixture.rs:829:14: replace > with == in decode_checkpoint in 57s build + 20s test
TIMEOUT  src/texel/mixture.rs:829:14: replace > with < in decode_checkpoint in 50s build + 20s test
TIMEOUT  src/texel/mixture.rs:829:14: replace > with >= in decode_checkpoint in 51s build + 20s test
TIMEOUT  src/texel/mixture.rs:829:30: replace * with + in decode_checkpoint in 51s build + 20s test
TIMEOUT  src/texel/mixture.rs:829:30: replace * with / in decode_checkpoint in 50s build + 20s test
TIMEOUT  src/texel/mixture.rs:836:8: delete ! in decode_checkpoint in 50s build + 20s test
TIMEOUT  src/texel/mixture.rs:850:5: replace read_u32 -> Option<u32> with None in 53s build + 20s test
TIMEOUT  src/texel/mixture.rs:850:5: replace read_u32 -> Option<u32> with Some(0) in 51s build + 20s test
TIMEOUT  src/texel/mixture.rs:850:5: replace read_u32 -> Option<u32> with Some(1) in 52s build + 20s test
TIMEOUT  src/texel/mixture.rs:856:5: replace read_u64 -> Option<u64> with None in 52s build + 20s test
TIMEOUT  src/texel/mixture.rs:856:5: replace read_u64 -> Option<u64> with Some(0) in 52s build + 20s test
TIMEOUT  src/texel/mixture.rs:856:5: replace read_u64 -> Option<u64> with Some(1) in 52s build + 20s test
TIMEOUT  src/texel/mixture.rs:862:5: replace read_f64 -> Option<f64> with None in 53s build + 20s test
TIMEOUT  src/texel/mixture.rs:862:5: replace read_f64 -> Option<f64> with Some(0.0) in 52s build + 20s test
TIMEOUT  src/texel/mixture.rs:862:5: replace read_f64 -> Option<f64> with Some(1.0) in 52s build + 20s test
TIMEOUT  src/texel/mixture.rs:862:5: replace read_f64 -> Option<f64> with Some(-1.0) in 53s build + 20s test
TIMEOUT  src/texel/mixture.rs:876:5: replace config_fingerprint -> u64 with 0 in 53s build + 20s test
TIMEOUT  src/texel/mixture.rs:876:5: replace config_fingerprint -> u64 with 1 in 53s build + 20s test
TIMEOUT  src/texel/mixture.rs:890:16: replace | with & in config_fingerprint in 53s build + 20s test
TIMEOUT  src/texel/mixture.rs:890:16: replace | with ^ in config_fingerprint in 59s build + 20s test
TIMEOUT  src/texel/mixture.rs:890:9: replace << with >> in config_fingerprint in 53s build + 20s test
TIMEOUT  src/texel/mixture.rs:911:16: replace < with == in reweight_train in 48s build + 20s test
TIMEOUT  src/texel/mixture.rs:911:16: replace < with > in reweight_train in 55s build + 20s test
TIMEOUT  src/texel/mixture.rs:911:16: replace < with <= in reweight_train in 53s build + 20s test
TIMEOUT  src/texel/mixture.rs:918:12: replace > with == in reweight_train in 53s build + 20s test
TIMEOUT  src/texel/mixture.rs:918:12: replace > with < in reweight_train in 59s build + 20s test
TIMEOUT  src/texel/mixture.rs:918:12: replace > with >= in reweight_train in 54s build + 20s test
TIMEOUT  src/texel/mixture.rs:920:28: replace / with % in reweight_train in 55s build + 20s test
TIMEOUT  src/texel/mixture.rs:920:28: replace / with * in reweight_train in 61s build + 20s test
TIMEOUT  src/texel/mixture.rs:921:24: replace && with || in reweight_train in 56s build + 20s test
TIMEOUT  src/texel/mixture.rs:921:18: replace > with == in reweight_train in 58s build + 20s test
TIMEOUT  src/texel/mixture.rs:921:18: replace > with < in reweight_train in 54s build + 20s test
TIMEOUT  src/texel/mixture.rs:921:18: replace > with >= in reweight_train in 55s build + 20s test
TIMEOUT  src/texel/mixture.rs:921:27: delete ! in reweight_train in 55s build + 20s test
TIMEOUT  src/texel/mixture.rs:922:49: replace / with % in reweight_train in 56s build + 20s test
TIMEOUT  src/texel/mixture.rs:922:49: replace / with * in reweight_train in 60s build + 20s test
TIMEOUT  src/texel/mixture.rs:928:16: replace <= with > in reweight_train in 57s build + 20s test
TIMEOUT  src/texel/mixture.rs:931:26: replace * with + in reweight_train in 58s build + 20s test
TIMEOUT  src/texel/mixture.rs:931:26: replace * with / in reweight_train in 59s build + 20s test
TIMEOUT  src/texel/mixture.rs:931:19: replace / with % in reweight_train in 57s build + 20s test
TIMEOUT  src/texel/mixture.rs:931:19: replace / with * in reweight_train in 57s build + 20s test
TIMEOUT  src/texel/mixture.rs:938:28: replace || with && in reweight_train in 66s build + 20s test
TIMEOUT  src/texel/mixture.rs:938:33: replace == with != in reweight_train in 60s build + 20s test
TIMEOUT  src/texel/mixture.rs:941:38: replace ^ with | in reweight_train in 63s build + 20s test
TIMEOUT  src/texel/mixture.rs:941:38: replace ^ with & in reweight_train in 59s build + 20s test
TIMEOUT  src/texel/mixture.rs:944:23: replace + with - in reweight_train in 58s build + 20s test
TIMEOUT  src/texel/mixture.rs:944:23: replace + with * in reweight_train in 94s build + 20s test
TIMEOUT  src/texel/mixture.rs:944:48: replace - with + in reweight_train in 66s build + 20s test
TIMEOUT  src/texel/mixture.rs:944:48: replace - with / in reweight_train in 67s build + 20s test
TIMEOUT  src/texel/optimizer.rs:73:5: replace save_checkpoint -> Result<(), TexelError> with Ok(()) in 65s build + 20s test
TIMEOUT  src/texel/optimizer.rs:104:5: replace encode_checkpoint -> Vec<u8> with vec![] in 53s build + 20s test
TIMEOUT  src/texel/optimizer.rs:104:5: replace encode_checkpoint -> Vec<u8> with vec![0] in 67s build + 20s test
TIMEOUT  src/texel/optimizer.rs:104:5: replace encode_checkpoint -> Vec<u8> with vec![1] in 58s build + 20s test
TIMEOUT  src/texel/optimizer.rs:121:5: replace write_f64_vec with () in 59s build + 20s test
TIMEOUT  src/texel/optimizer.rs:131:20: replace < with == in decode_checkpoint in 56s build + 20s test
TIMEOUT  src/texel/optimizer.rs:131:20: replace < with > in decode_checkpoint in 63s build + 20s test
TIMEOUT  src/texel/optimizer.rs:131:20: replace < with <= in decode_checkpoint in 65s build + 20s test
TIMEOUT  src/texel/optimizer.rs:131:40: replace + with - in decode_checkpoint in 64s build + 20s test
TIMEOUT  src/texel/optimizer.rs:131:40: replace + with * in decode_checkpoint in 71s build + 20s test
TIMEOUT  src/texel/optimizer.rs:131:36: replace + with - in decode_checkpoint in 60s build + 20s test
TIMEOUT  src/texel/optimizer.rs:131:36: replace + with * in decode_checkpoint in 64s build + 20s test
TIMEOUT  src/texel/optimizer.rs:131:32: replace + with - in decode_checkpoint in 68s build + 20s test
TIMEOUT  src/texel/optimizer.rs:131:32: replace + with * in decode_checkpoint in 63s build + 20s test
TIMEOUT  src/texel/optimizer.rs:131:28: replace + with - in decode_checkpoint in 67s build + 20s test
TIMEOUT  src/texel/optimizer.rs:131:28: replace + with * in decode_checkpoint in 67s build + 20s test
TIMEOUT  src/texel/optimizer.rs:131:24: replace + with * in decode_checkpoint in 54s build + 20s test
TIMEOUT  src/texel/optimizer.rs:134:30: replace - with + in decode_checkpoint in 66s build + 20s test
TIMEOUT  src/texel/optimizer.rs:134:30: replace - with / in decode_checkpoint in 68s build + 20s test
TIMEOUT  src/texel/optimizer.rs:136:54: replace != with == in decode_checkpoint in 69s build + 20s test
TIMEOUT  src/texel/optimizer.rs:140:26: replace != with == in decode_checkpoint in 71s build + 20s test
TIMEOUT  src/texel/optimizer.rs:152:8: delete ! in decode_checkpoint in 66s build + 20s test
TIMEOUT  src/texel/optimizer.rs:169:5: replace read_u32 -> Result<u32, TexelError> with Ok(0) in 73s build + 20s test
TIMEOUT  src/texel/optimizer.rs:169:5: replace read_u32 -> Result<u32, TexelError> with Ok(1) in 69s build + 20s test
TIMEOUT  src/texel/optimizer.rs:176:5: replace read_u64 -> Result<u64, TexelError> with Ok(0) in 71s build + 20s test
TIMEOUT  src/texel/optimizer.rs:176:5: replace read_u64 -> Result<u64, TexelError> with Ok(1) in 70s build + 20s test
TIMEOUT  src/texel/optimizer.rs:183:5: replace read_f64_vec -> Result<Vec<f64>, TexelError> with Ok(vec![]) in 71s build + 20s test
TIMEOUT  src/texel/optimizer.rs:183:5: replace read_f64_vec -> Result<Vec<f64>, TexelError> with Ok(vec![0.0]) in 72s build + 20s test
TIMEOUT  src/texel/optimizer.rs:183:5: replace read_f64_vec -> Result<Vec<f64>, TexelError> with Ok(vec![1.0]) in 67s build + 20s test
TIMEOUT  src/texel/optimizer.rs:183:5: replace read_f64_vec -> Result<Vec<f64>, TexelError> with Ok(vec![-1.0]) in 71s build + 20s test
